한글,영어
메세지를 받다,get a message
팩스를 받다,get a fax
새 차를 뽑다,get a new car
취직하다,get a job
머리를 자르다,get a haircut
독감 주사를 맞다,get a flu shot
커피를 주문하다,get a coffee
눈이 많이 오다,get a lot of snow
환불받다,get a refund
할인을 받다,get a discount
새 컴퓨터를 장만하다,get a new computer
포인트를 쌓다,get points
테이블을 맡다,get a table
좌석을 확보하다,get a seat
라식 수술을 받다,get Lasik surgery
꿈이 있다,have a dream
머리가 아프다,have a headache
친구가 많다,have a lot of friends
열이 나다,have a fegver
아들만 둘이다,have two sons
아침을 먹다,have breakfast
감기에 걸리다,have a cold
점이 있다,have a mole
다래끼가 나다,have a sty
자신 있다,have confidence
머리가 짧다,have short hair
건물주다(건물이 있다),have a building
가정이 있다,have a family
재미있다,have fun
통증이 있다,have pain
비타민을 복용하다,take vitamins
보충제를 섭취하다,take supplements
내 손을 잡다,take my hand
내 팔을 잡다,take my arm
번호를 따다,take a number
전화를 받다,take a call
여권 사진을 찍다,take a passport photo
수업을 듣다,take a class
강좌를 수강하다,take a course
심호흡을 하다,take a deep breath
위험을 감수하다,take a risk
조치를 취하다,take action
휴식을 취하다,take a break
(쇼핑 중) 그 검정 재킷을 선택하다,take the black jacket
(도둑이) 내 가방을 가져가다,take my bag
집안일을 하다,do the housework
집안일 / 허드렛일을 하다,do the chores
빨래하다,do the laundry
다림질하다,do the ironing
청소기를 돌리다,do the vacuuming
화장하다,do my makeup
머리를 묶다,dp a ponytail
내 손톱을 손질하다,do my nails
만들기를 하다,do crafts
사무를 보다,dp office work
나에게 호의를 베풀다,do me a favor
검색(조사)을 하다,do some research
최선을 다하다,dp my best
내 의무를 다하다,do my duties
내 할 일을 하다,dp my stuff
말썽을 피우다,make trouble
지저분하게 만들다,make a mess
소란을 피우다,make a fuss
변화를 일으키다,make a difference
많은 돈을 벌다,make a lot of money
시간을 내다,make time
소원을 빌다,make a wish
맹세를 하다,make a vow
변명을 하다,maek excuses
좋은 인상을 심다,make a good impression
제안을 하다,maek a suggestion
결정을 내리다,make a decision
리스트를 만들다,make a list
전화를 걸다,make a call
영화를 제작하다,make a movie
학교에 가다,go to school
회사에 가다,go to work
자러 가다,go to bed
헬스장에 가다,go to the gym
식료품에 가다,go to the grocery store
콘서트에 가다,go to the concert
약국에 가다,go to the drugstore
여행(출장)을 가다,go on a (business) trip
투어를 떠나다,go on a tour
소풍 가다,go on a picnic
산책하러 가다,go for a walk
저녁 먹으러 가다,go for dinner
수영하러 가다,go swimming
조깅하러 가다,go jogging
스키 타러 가다,go sking
선생님이다,be a teacher
단골이다,be a regular customer
걱정하다,be worried
틀렸다,be wrong
부유하다,be rich
뜨겁다,be hot
부재중이다,be away
끝났다,be over
다이어트 중이다,be on a diet
푹 빠져있다,be into it
집에 있다,be at home
회사에 있다,be at work
유행이다,be in style
시간을 잘 지키다,be on time
일등을 하다,be in first place
